id,name,jobTitle,email,phone,salary,benefits
76-2580829,Edith Ballendine,Financial Analyst,eballendine0@skyrock.com,4149759143,$76086.44,RL
01-7582288,Hobart Collin,Financial Advisor,hcollin1@constantcontact.com,2726615163,$82362.39,Bonneville
29-9114224,Karla Eastup,Structural Analysis Engineer,keastup2@fastcompany.com,7678361810,$5066.65,Tacoma
27-8433336,Gilemette Hugenin,Internal Auditor,ghugenin3@scribd.com,3897897002,$75685.65,Avalon
43-0625990,Tabbatha Jahnig,Environmental Specialist,tjahnig4@utexas.edu,4304217691,$49933.74,Monte Carlo
61-3072996,Stan Seater,Director of Sales,sseater5@apple.com,6375675864,$99553.21,S40
78-2587944,Helena Roscow,Compensation Analyst,hroscow6@exblog.jp,4002179708,$65657.35,Impreza
37-8586906,Dorothea Mattia,Research Nurse,dmattia7@fda.gov,1905348402,$76053.83,C70
28-4000810,Ulises Speake,Business Systems Development Analyst,uspeake8@altervista.org,7551595390,$44959.06,Pajero
36-0300543,Joana Dyment,Assistant Manager,jdyment9@soundcloud.com,4892305555,$61055.84,Defender Ice Edition
48-3607068,Odetta Lownes,Quality Engineer,olownesa@livejournal.com,9316429557,$46890.41,XJ Series
38-5180509,Nero Gipson,Health Coach IV,ngipsonb@last.fm,2337015486,$3891.48,Boxster
99-0998693,Dyna Denness,Nuclear Power Engineer,ddennessc@feedburner.com,2976894855,$29300.08,E150
53-9481662,Levy Paulmann,Director of Sales,lpaulmannd@vimeo.com,6657026951,$48519.49,A8
04-2208354,Vania Colegate,Web Designer I,vcolegatee@opera.com,6254641246,$56450.76,Caravan
70-7424675,Dorette Quenell,Financial Analyst,dquenellf@reuters.com,9928499733,$96725.42,Tracer
06-2939962,Justis Pinchon,Financial Advisor,jpinchong@vinaora.com,8873158871,$82603.24,911
44-2337224,Claudio Franzonello,Assistant Media Planner,cfranzonelloh@ycombinator.com,2246598039,$30602.17,Integra
43-9064698,Imojean McIntosh,Cost Accountant,imcintoshi@newyorker.com,6995588564,$84441.57,TSX
80-7188659,Mead Oleshunin,Mechanical Systems Engineer,moleshuninj@exblog.jp,3562153202,$87427.27,Windstar
19-6115042,Homer Lanfranchi,General Manager,hlanfranchik@icq.com,1505732209,$94796.28,Charger
61-5460703,Fredi Dyble,Database Administrator II,fdyblel@123-reg.co.uk,7015565214,$58043.54,Concorde
